버스정류장ars번호,시간대,승차비율,하차비율
05101,17,0.0,0.0
05101,18,0.0,0.0
05101,19,0.0,0.0
05101,20,0.0,0.0
05101,21,0.0,0.0
05101,22,0.0,0.0
05102,0,0.0,0.0
05102,1,0.0,0.0
05102,2,0.0,0.0
05102,3,0.0,0.0
05102,4,100.0,100.0
05102,6,0.0,0.0
05102,7,0.0,0.0
05102,8,0.0,0.0
05102,9,0.0,0.0
05102,10,0.0,0.0
05102,11,0.0,0.0
05102,12,0.0,0.0
05102,13,0.0,0.0
05102,14,0.0,0.0
05102,15,0.0,0.0
05102,16,0.0,0.0
05102,17,0.0,0.0
05102,18,0.0,0.0
05102,19,0.0,0.0
05102,20,0.0,0.0
05102,21,0.0,0.0
05102,22,0.0,0.0
05112,0,2.75,5.79
05112,1,0.0,0.04
05112,2,0.0,0.0
05112,3,0.0,0.0
05112,4,0.0,0.0
05112,6,4.97,1.25
05112,7,21.89,1.61
05112,8,11.97,4.16
05112,9,6.52,4.52
05112,10,4.39,4.58
05112,11,4.24,5.72
05112,12,4.08,5.75
05112,13,3.84,6.15
05112,14,4.54,7.22
05112,15,5.28,8.01
05112,16,4.9,8.72
05112,17,4.79,8.79
05112,18,4.94,7.49
05112,19,3.09,6.48
05112,20,3.08,4.79
05112,21,2.28,5.05
05112,22,2.45,3.87
05120,0,,0.0
05120,1,,0.0
05120,2,,0.0
05120,3,,0.0
05120,4,,0.0
05120,6,,100.0
05120,7,,0.0
05120,8,,0.0
05120,9,,0.0
05120,10,,0.0
05120,11,,0.0
05120,12,,0.0
05120,13,,0.0
05120,14,,0.0
05120,15,,0.0
05120,16,,0.0
05120,17,,0.0
05120,18,,0.0
05120,19,,0.0
05120,20,,0.0
05120,21,,0.0
05120,22,,0.0
05121,0,0.0,0.0
05121,1,0.0,0.0
05121,2,0.0,0.0
05121,3,0.0,0.0
05121,4,100.0,100.0
05121,6,0.0,0.0
05121,7,0.0,0.0
05121,8,0.0,0.0
05121,9,0.0,0.0
05121,10,0.0,0.0
05121,11,0.0,0.0
05121,12,0.0,0.0
05121,13,0.0,0.0
05121,14,0.0,0.0
05121,15,0.0,0.0
05121,16,0.0,0.0
05121,17,0.0,0.0
05121,18,0.0,0.0
05121,19,0.0,0.0
05121,20,0.0,0.0
05121,21,0.0,0.0
05121,22,0.0,0.0
05122,0,0.0,0.0
05122,1,0.0,0.0
05122,2,0.0,0.0
05122,3,0.0,0.0
05122,4,0.0,0.0
05122,6,100.0,100.0
05122,7,0.0,0.0
05122,8,0.0,0.0
05122,9,0.0,0.0
05122,10,0.0,0.0
05122,11,0.0,0.0
05122,12,0.0,0.0
05122,13,0.0,0.0
05122,14,0.0,0.0
05122,15,0.0,0.0
